x, y
-5.343607903352461, 0.028514627460819706
-5.087039487331615, 0.020588661305803547
-4.862536267726009, 0.014833318271484954
-4.644292925605221, 0.009026705282743616
-4.420270373345122, 0.003993946003129207
-4.178014031209364, -0.000008860024035439729
-3.9521543520609272, -0.0037298160404546817
-3.741207580979464, -0.006581577328732588
-3.399804433565612, -0.008655142475942668
-3.092574494018696, -0.008655142475942668
-2.8215901310847062, -0.007131048956204283
-2.456014100661722, -0.005322926510402637
-1.9898064916772755, -0.004706355070227191
-1.4788805257523134, -0.004051641062968056
-1.0240806193195078, -0.0035938455651422056
-0.594732659849134, -0.0026027624681066557
-0.1293611269042243, -0.0023432636629010135
0.31333655339720234, -0.0019071341286951704
1.0113958895406068, 0.00013209192905320674
1.493155938568676, 0.001998902650509969
2.0073223356237335, 0.003871903647286734
2.5941805034196115, 0.0037727360526081007
3.0680512941306333, 0.001964698299627997
3.38069892494471, 0.00006568505761662263
3.7614220869293007, -0.003991416767504058
4.042074788376526, -0.00852336044562283
4.26890904093524, -0.013380655447370101
4.493936717496219, -0.018656155902545896
4.69737917148225, -0.02438305369784739
