"multimodality","value"
0,0.003
1,0.9945
2,0.0025
"multimodality","value"
0,0.0125
1,0.9775
2,0.01
"multimodality","value"
0,0.01175
1,0.92225
2,0.066
"multimodality","value"
0,0.00825
1,0.97125
2,0.0205
"multimodality","value"
0,0.0075
1,0.9775
2,0.015
"multimodality","value"
0,0.0025
1,0.9915
2,0.006
"multimodality","value"
0,0.01525
1,0.98175
2,0.003
"multimodality","value"
0,0.0045
1,0.9385
2,0.05675
3,0.00025
"multimodality","value"
0,0.0135
1,0.96075
2,0.02525
3,5e-04
"multimodality","value"
0,0.005
1,0.8705
2,0.12425
3,0.00025
"multimodality","value"
0,0.00775
1,0.986
2,0.00625
"multimodality","value"
0,0.01175
1,0.82675
2,0.161
3,5e-04
"multimodality","value"
0,0.01225
1,0.97975
2,0.008
"multimodality","value"
0,0.02925
1,0.94675
2,0.024
"multimodality","value"
0,0.00175
1,0.98425
2,0.014
"multimodality","value"
0,0.02
1,0.96875
2,0.01125
"multimodality","value"
0,5e-04
1,0.99825
2,0.00125
"multimodality","value"
0,0.01175
1,0.836
2,0.14525
3,0.007
"multimodality","value"
0,0.00075
1,0.9855
2,0.01375
"multimodality","value"
0,0.0025
1,0.99575
2,0.00175
"multimodality","value"
0,0.00725
1,0.98425
2,0.0085
"multimodality","value"
0,0.01575
1,0.95775
2,0.0265
"multimodality","value"
0,0.01275
1,0.957
2,0.03025
"multimodality","value"
0,0.00725
1,0.958
2,0.03425
3,5e-04
"multimodality","value"
0,0.00475
1,0.98525
2,0.00975
3,0.00025
"multimodality","value"
0,0.00525
1,0.9205
2,0.07425
"multimodality","value"
0,0.0015
1,0.9805
2,0.01775
3,0.00025
"multimodality","value"
0,0.0055
1,0.985
2,0.0095
"multimodality","value"
0,0.00275
1,0.994
2,0.00325
"multimodality","value"
0,0.0335
1,0.95075
2,0.01575
"multimodality","value"
0,0.02475
1,0.9715
2,0.00375
"multimodality","value"
0,0.005
1,0.988
2,0.00675
3,0.00025
"multimodality","value"
0,0.00325
1,0.99375
2,0.003
"multimodality","value"
0,0.00575
1,0.988
2,0.00625
"multimodality","value"
0,0.0065
1,0.91025
2,0.083
3,0.00025
"multimodality","value"
0,0.005
1,0.99
2,0.005
"multimodality","value"
0,0.0175
1,0.95125
2,0.03125
"multimodality","value"
