"multimodality","value"
0,0.262
1,0.70725
2,0.0305
3,0.00025
"multimodality","value"
0,0.65375
1,0.31425
2,0.0315
3,5e-04
"multimodality","value"
0,0.11225
1,0.877
2,0.01075
"multimodality","value"
0,0.75575
1,0.22075
2,0.0235
"multimodality","value"
0,0.37125
1,0.532
2,0.09625
3,5e-04
"multimodality","value"
0,0.556
1,0.40225
2,0.04175
"multimodality","value"
0,0.4055
1,0.57425
2,0.02025
"multimodality","value"
0,0.27625
1,0.6815
2,0.04225
"multimodality","value"
0,0.587
1,0.38875
2,0.02375
3,5e-04
"multimodality","value"
0,0.61
1,0.36125
2,0.02875
"multimodality","value"
0,0.3215
1,0.6545
2,0.024
"multimodality","value"
0,0.39825
1,0.57425
2,0.0275
"multimodality","value"
0,0.43575
1,0.54125
2,0.02275
3,0.00025
"multimodality","value"
0,0.2045
1,0.776
2,0.019
3,5e-04
"multimodality","value"
0,0.82525
1,0.15475
2,0.02
"multimodality","value"
0,0.424
1,0.492
2,0.08375
3,0.00025
"multimodality","value"
0,0.53025
1,0.4365
2,0.03275
3,5e-04
"multimodality","value"
0,0.28325
1,0.68975
2,0.02675
3,0.00025
"multimodality","value"
0,0.64
1,0.3325
2,0.02725
3,0.00025
"multimodality","value"
0,0.437
1,0.5455
2,0.0175
"multimodality","value"
0,0.3405
1,0.6485
2,0.011
"multimodality","value"
0,0.49875
1,0.45275
2,0.048
3,5e-04
"multimodality","value"
0,0.22425
1,0.75875
2,0.017
"multimodality","value"
0,0.507
1,0.446
2,0.047
"multimodality","value"
0,0.20625
1,0.76775
2,0.0255
3,5e-04
"multimodality","value"
0,0.25525
1,0.73
2,0.0145
3,0.00025
"multimodality","value"
0,0.4415
1,0.52475
2,0.03375
"multimodality","value"
0,0.681
1,0.31125
2,0.00775
"multimodality","value"
0,0.55675
1,0.3935
2,0.04925
3,5e-04
"multimodality","value"
0,0.393
1,0.566
2,0.04075
3,0.00025
"multimodality","value"
0,0.76125
1,0.21825
2,0.0205
"multimodality","value"
0,0.21525
1,0.778
2,0.0065
3,0.00025
"multimodality","value"
0,0.134
1,0.858
2,0.00775
3,0.00025
"multimodality","value"
0,0.2085
1,0.78575
2,0.00575
"multimodality","value"
0,0.60875
1,0.38325
2,0.008
"multimodality","value"
0,0.22775
1,0.751
2,0.02125
"multimodality","value"
0,0.231
1,0.75525
2,0.0135
3,0.00025
"multimodality","value"
0,0.335
1,0.65425
2,0.01075
"multimodality","value"
0,0.43275
1,0.541
2,0.02625
"multimodality","value"
0,0.458
1,0.5315
2,0.0105
"multimodality","value"
0,0.42425
1,0.537
2,0.03875
"multimodality","value"
0,0.13025
1,0.8685
2,0.00125
"multimodality","value"
0,0.4545
1,0.517
2,0.02825
3,0.00025
"multimodality","value"
0,0.3945
1,0.59925
2,0.00625
"multimodality","value"
0,0.674
1,0.30225
2,0.02375
"multimodality","value"
0,0.7965
1,0.1945
2,0.009
"multimodality","value"
0,0.28925
1,0.697
2,0.01375
"multimodality","value"
0,0.20225
1,0.772
2,0.02575
"multimodality","value"
0,0.2775
1,0.69825
2,0.024
3,0.00025
"multimodality","value"
0,0.44925
1,0.5235
2,0.027
3,0.00025
"multimodality","value"
0,0.562
1,0.4025
2,0.03525
3,0.00025
"multimodality","value"
0,0.15525
1,0.83425
2,0.0105
"multimodality","value"
0,0.46875
1,0.32075
2,0.21
3,5e-04
"multimodality","value"
0,0.343
1,0.575
2,0.08175
3,0.00025
"multimodality","value"
0,0.2065
1,0.7745
2,0.019
"multimodality","value"
0,0.418
1,0.566
2,0.016
"multimodality","value"
0,0.49525
1,0.4475
2,0.057
3,0.00025
"multimodality","value"
0,0.74525
1,0.2485
2,0.006
3,0.00025
"multimodality","value"
0,0.0625
1,0.93025
2,0.00725
"multimodality","value"
0,0.2225
1,0.76125
2,0.01575
3,5e-04
"multimodality","value"
0,0.34775
1,0.64025
2,0.012
"multimodality","value"
0,0.13625
1,0.85925
2,0.0045
