bistable tp_dist
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.6879037 
1 0.7690771 
0 NA 
0 NA 
1 0.7613679 
0 NA 
0 NA 
1 0.5567008 
1 0.8993333 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 1.282591 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.5528496 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.6234708 
1 0.9704916 
1 0.8502083 
1 1.332496 
1 1.371185 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 1.037375 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.5879402 
0 NA 
0 NA 
0 NA 
1 0.9203395 
0 NA 
0 NA 
0 NA 
1 1.362815 
0 NA 
0 NA 
