bistable tp_dist
0 NA 
1 1.035906 
1 0.46634 
1 0.575814 
1 0.4167202 
1 0.9607573 
1 0.579714 
1 0.6302432 
1 0.703537 
1 0.8671648 
1 0.8554871 
1 0.723402 
1 0.9213811 
1 0.6872609 
1 0.5651475 
1 0.9176602 
1 0.4717346 
1 0.6732946 
1 0.7431201 
1 0.532207 
1 0.3719901 
0 NA 
1 0.4703541 
1 0.6418038 
1 0.5837635 
1 0.3263836 
1 0.220363 
1 0.8356481 
1 0.7169027 
1 0.6369927 
1 0.4968789 
1 0.4496444 
1 0.5773914 
1 0.9982318 
1 0.5332125 
1 0.9630674 
1 0.5714901 
1 0.5264382 
1 0.5908183 
1 0.6670258 
1 0.6754104 
1 0.5369914 
1 0.4824216 
1 0.5602018 
1 0.4854335 
1 0.5737651 
1 0.592309 
1 0.7896023 
1 0.8108508 
1 0.6213286 
1 1.0488 
1 0.6043777 
1 0.8570335 
1 0.7502286 
1 0.500594 
1 0.8339671 
1 0.7612896 
1 0.56669 
1 1.115955 
1 0.6152185 
1 0.4731522 
1 0.9506337 
1 0.9949828 
1 0.3410213 
1 0.7225119 
1 0.6002628 
1 0.7237742 
1 0.4710891 
1 0.580462 
1 0.4500317 
1 0.8304465 
1 0.6502887 
0 NA 
1 0.6575395 
1 0.3809781 
1 0.7644669 
1 0.7698047 
1 0.4788162 
1 0.7565408 
1 0.7117735 
1 0.6988878 
1 0.4874854 
1 0.5973065 
1 0.6958008 
1 1.153636 
1 0.538119 
1 0.7557317 
1 0.4309585 
1 0.6155202 
1 0.6428248 
1 0.7390809 
1 0.5786479 
1 0.7766369 
1 0.6371187 
1 0.6811472 
1 0.715234 
1 0.5160187 
1 0.4954149 
1 0.6711926 
1 0.4931476 
