bistable tp_dist
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.7882159 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.7784027 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.5524305 
1 0.9684201 
1 0.7551498 
1 0.7075396 
0 NA 
1 0.9352415 
1 1.008023 
1 0.5724968 
0 NA 
1 0.7894456 
1 0.6977022 
1 0.7570049 
1 0.849752 
1 0.6854325 
1 1.300056 
1 0.8673168 
1 1.028562 
1 1.048803 
0 NA 
0 NA 
1 0.7945365 
1 1.077276 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.6768006 
1 0.6860219 
1 0.542603 
1 0.8736095 
1 0.7688198 
1 0.6503057 
1 1.09244 
1 0.6006475 
1 0.8860025 
1 1.533114 
1 1.617752 
1 1.009623 
1 0.9139719 
1 0.745805 
1 0.6337782 
1 1.174129 
1 0.6316793 
1 1.092561 
0 NA 
0 NA 
1 0.7170247 
0 NA 
1 1.161462 
1 1.165584 
1 1.127385 
0 NA 
0 NA  
1 0.570086
1 1.414013 
1 0.8302872 
1 1.175212 
0 NA 
1 1.320685 
0 NA 
1 0.8435876 
0 NA 
1 0.9388542 
1 0.7894244 
1 0.8655639 
1 0.6517878 
1 0.7367238 
0 NA 
0 NA 
