bistable tp_dist
0 NA 
0 NA 
1 0.6385721 
0 NA 
1 0.8201099 
1 0.8024127 
1 1.109654 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.9685951 
0 NA 
0 NA 
1 0.8104365 
1 0.6106512 
0 NA 
1 0.8258962 
1 1.031957 
1 0.7094055 
1 0.7195435 
1 0.7052819 
1 1.142042 
1 0.8625369 
0 NA 
0 NA 
0 NA 
1 0.5574656 
1 0.7791647 
0 NA 
1 0.9752054 
1 1.040714 
1 0.743361 
1 0.9934776 
1 0.8489695 
1 0.7212251 
1 0.7792072 
0 NA 
1 0.8249272 
1 0.8912963 
1 0.6840886 
1 0.6767376 
1 0.952065 
1 0.5498746 
0 NA 
1 0.5831001 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.8415115 
1 0.7339098 
1 0.7595143 
1 0.9671016 
0 NA 
1 1.027993 
1 0.6899891 
1 0.7985764 
1 0.9627616 
1 0.7977758 
1 0.9333833 
1 0.9439808 
1 0.7599204 
1 1.145823 
1 0.8350378 
1 1.051402 
1 0.9682068 
1 0.6966251 
1 1.3556 
1 0.7417611 
1 1.001041 
1 0.9272203 
1 0.6202858 
1 0.6597574 
1 1.230357 
1 0.5864433 
1 0.9108931 
1 1.186187 
1 0.7144071 
1 0.8684611 
1 1.122641 
