bistable tp_dist
0 NA 
1 0.477516 
1 0.4865391 
0 NA 
0 NA 
1 0.2820465 
0 NA 
0 NA 
0 NA 
1 1.022767 
0 NA 
1 0.6183394 
1 0.7974165 
0 NA 
1 1.273573 
0 NA 
0 NA 
1 0.6696569 
1 0.7111431 
0 NA 
1 0.6247085 
1 0.7372621 
1 0.6868656 
0 NA 
1 1.182505 
1 0.7517371 
1 0.6402193 
1 0.5796864 
1 0.9645294 
1 0.5254525 
0 NA 
1 0.6553264 
0 NA 
1 1.214784 
1 0.9526633 
1 0.8269065 
0 NA 
1 0.8892878 
1 1.256561 
1 0.623535 
1 0.4930078 
1 0.5041466 
1 0.587669 
1 0.5358229 
0 NA 
0 NA 
1 0.3506779 
1 0.5925371 
0 NA 
0 NA 
0 NA 
1 1.132014 
1 0.5641185 
1 0.4645414 
1 0.7411767 
1 0.5835787 
1 0.3177073 
1 0.6757787 
1 0.6608183 
0 NA 
1 0.419401 
1 0.85006 
1 1.180674 
0 NA 
0 NA 
1 0.5965597 
1 0.7866103 
1 0.7446431 
0 NA 
1 0.7626656 
1 0.5941475 
1 0.5328835 
1 1.012606 
1 0.4785085 
1 0.6679257 
0 NA 
0 NA 
1 0.7673489 
1 0.2885049 
1 0.672909 
1 0.8855838 
0 NA 
1 0.3458152 
1 1.67112 
1 0.1972629 
1 1.375519 
1 0.6895452 
1 0.7144051 
1 0.8731964 
1 0.6276358 
1 0.6954145 
1 0.8459671 
1 0.7391206 
1 0.4480906 
0 NA 
0 NA 
1 1.047908 
1 0.6720205 
1 0.6124631 
