bistable tp_dist
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
0 NA 
1 0.7396513 
1 0.8113338 
0 NA 
1 1.066836 
0 NA 
0 NA 
1 1.753287 
1 0.4723886 
0 NA 
0 NA 
1 0.7778666 
0 NA 
0 NA 
1 0.6938414 
0 NA 
1 0.6874916 
1 0.6665752 
1 0.6644638 
1 0.6422288 
0 NA 
1 0.8078857 
1 0.6538547 
0 NA 
1 0.6021569 
1 0.5057126 
1 0.5621181 
0 NA 
1 0.6455642 
1 0.4074148 
1 0.6096957 
1 0.5918415 
1 1.289409 
1 0.3821391 
1 0.6121386 
1 0.6717826 
1 0.8633841 
1 0.8140391 
1 0.4950938 
0 NA 
1 0.7347964 
1 0.6588028 
0 NA 
1 0.675946 
1 1.062645 
1 0.5533224 
1 0.6188981 
0 NA 
0 NA 
1 0.7953188 
1 0.6517623 
1 0.61845 
1 1.017522 
1 1.085793 
1 1.081709 
1 0.6939722 
1 0.7044169 
1 0.7146407 
1 0.6511584 
1 0.606939 
1 0.755773 
1 1.060406 
1 0.4830556 
1 0.78043 
0 NA 
0 NA 
1 0.7948849 
1 0.9323252 
1 0.8489192 
1 1.003824 
1 0.9113029 
1 0.7839484 
1 1.177889 
0 NA 
0 NA 
1 0.9393751 
1 0.753198 
1 0.7053204 
1 1.334323 
1 0.7248857 
1 1.083423 
1 0.9216339 
1 0.4178672 
1 1.476944 
1 1.023843 
1 0.7203594 
0 NA 
1 1.533297 
1 0.9390858 
0 NA 
1 0.9704062 
1 0.6199079 
