bistable tp_dist
0 NA 
1 0.6180768 
1 0.6046281 
1 0.7326126 
1 0.5637153 
0 NA 
1 0.4836481 
1 0.6559962 
1 0.7977169 
1 0.7337341 
1 0.6962152 
0 NA 
1 0.5834059 
1 0.6470567 
1 0.8161465 
1 0.7517117 
1 0.6211036 
1 0.940189 
1 0.5060341 
1 0.4820223 
1 0.6746563 
0 NA 
1 0.7140383 
0 NA 
1 0.8050745 
1 1.072114 
1 1.226133 
1 0.7486605 
0 NA 
0 NA 
1 0.4916647 
1 0.6603903 
1 0.7277742 
1 0.5729422 
1 0.6852746 
1 0.7501713 
0 NA 
1 0.9980326 
0 NA 
1 0.7443609 
1 0.8645291 
1 0.6783218 
1 0.6003976 
1 0.8850584 
1 0.623505 
1 0.5830968 
1 1.508373 
1 0.6026219 
1 0.6180574 
1 0.8157312 
1 0.8134064 
1 0.7393731 
1 0.6155962 
1 0.7415752 
1 0.4879304 
1 0.610302 
1 0.6427571 
1 0.8205274 
1 0.5188384 
1 0.8114908 
1 0.8839226 
1 0.7160721 
1 0.8335409 
1 0.8175689 
1 0.9843107 
1 1.21655 
1 0.52904 
1 0.4435121 
1 1.216242 
1 0.6545395 
1 0.6470331 
1 0.5096495 
1 0.8256295 
1 0.6965039 
1 0.5700253 
1 0.5151209 
1 0.8187239 
1 0.5716011 
1 0.9280989 
1 0.7644065 
1 0.7283292 
1 1.247896 
1 0.8150981 
1 1.002837 
1 0.5860938 
1 0.4987222 
1 0.7586553 
1 1.04369 
1 1.312848 
0 NA 
1 0.6266276 
1 0.4155197 
1 0.8509449 
1 0.4368177 
1 0.5387186 
1 0.5550306 
0 NA 
1 0.9187069 
1 0.7953458 
1 0.7629263 
