dist_left dist_right dist_tp rmse_drift n_bis
0.2426442 0.1927672 0.5707216 0.7549936 89.875 
0.1502252 0.1815181 0.5518952 0.8473637 92.15 
0.4202473 0.2432159 0.3292844 0.8439307 93.325 
0.2028291 0.1311806 1.029452 0.9682335 92.525 
0.1841782 0.1278267 0.7250671 0.7351505 95.1 
0.2624778 0.1293783 0.3492437 0.7851344 84.4 
0.3174014 0.4301591 0.5057369 0.7612394 77.825 
0.1250875 0.1159897 0.5029578 0.7839278 96 
0.7289355 0.2102833 0.4646416 0.6364949 83.3 
0.2468455 0.4725596 0.3732526 0.8613268 87.25 
0.243069 0.3749491 0.8733784 0.5778317 67.425 
0.3267862 0.2912279 0.8544726 1.116542 68.25 
0.4595443 0.5858939 0.5114083 0.8848083 72.475 
0.1468563 0.1643527 0.3960232 0.7616799 84.775 
0.2594023 0.3672353 0.4687719 0.7845736 83.425 
0.3375188 0.1228882 0.4122934 0.5852067 88.75 
0.09141633 0.5181982 0.7618905 0.5969943 97.925 
0.2188694 0.1533043 0.4590458 0.4579296 93.825 
0.2651602 0.1154838 0.4930235 0.619874 93.475 
0.1097283 0.1279011 0.2918938 1.045528 94.15 
0.2450372 0.5717985 0.308787 0.9353028 77.1 
0.1458665 0.09790382 0.5006245 0.7240472 97.2 
0.1736135 0.4396301 0.5385639 0.7646491 87.35 
0.3052272 0.4868112 0.4643637 0.5907157 87.95 
0.3081765 0.3034457 0.6571994 0.5742656 87.575 
0.1962784 0.2248898 0.5713667 0.7135905 92.25 
0.2285351 0.3210835 1.001985 0.9234197 78.125 
0.273936 0.1220108 0.8754544 0.9183521 81.675 
0.2466276 0.1462541 0.474252 0.7040204 93.1 
0.2836191 0.2985904 0.5498453 0.9036867 90.7 
0.3602564 0.2100822 0.8362873 0.7468392 93.325 
0.2686051 0.4693426 0.6185712 0.9661461 70.75 
0.2230194 0.3323074 0.5518987 0.625612 87.175 
0.2323054 0.1301465 0.8981726 0.7250892 83.05 
0.233138 0.3372218 0.5171366 0.6150628 90.55 
0.2489954 0.4769133 0.7342987 0.6649664 67.775 
0.2990101 0.1069038 0.3881624 0.8133333 95 
0.1206394 0.1468264 0.4973256 0.7546961 97.1 
0.09864244 0.1547133 0.4730782 0.7340424 95.7 
0.1393694 0.2970833 0.6582349 0.649749 92.8 
0.2841281 0.1760682 0.8102283 0.5997017 90.1 
0.1398276 0.2068865 0.5013788 0.6516743 91.975 
0.1485971 0.1583254 0.7896378 0.6277805 95.675 
0.4007108 0.1116112 0.5152872 0.7770757 86.65 
0.1086677 0.5780231 0.5890548 0.659879 61.875 
0.2294009 0.2295263 0.7339474 0.8126574 87.75 
0.1536708 0.1468156 0.6132678 0.6607781 91.55 
0.4087376 0.1304707 0.4411808 0.6998535 91.825 
0.2116787 0.471928 0.7089044 0.7261639 92.725 
0.4848671 0.1324909 0.6177553 1.269338 62.225 
0.1213202 0.2887493 0.7810607 0.6558028 92.65 
0.1727476 0.3746517 0.6696567 0.8455885 86.375 
0.09392383 0.2471653 1.0089 0.7600616 92.55 
0.1832573 0.09596956 0.2359228 0.620538 88.975 
0.3616921 0.1400306 0.3701526 0.8280352 89.275 
0.2388944 0.2016082 0.5250554 0.6455882 88.5 
0.4703094 0.1066726 0.8008081 0.9059285 54.725 
0.1105539 0.2127268 1.321306 0.9332501 91.225 
0.3505833 0.5023506 1.214687 0.8067682 40.525 
0.5249859 0.3503788 0.8284855 0.5446796 49.05 
0.1911989 0.1781532 0.5804316 0.5592748 95.85 
0.2677972 0.306123 0.4512191 0.7669881 77.325 
0.1003692 0.1554093 0.4816055 0.7473573 96.025 
0.2439365 0.2860407 0.5306044 0.8801725 89.75 
0.127086 0.2532252 0.5827586 0.9990091 92.075 
0.1693651 0.08121588 1.023621 0.7907433 93.45 
0.2157177 0.1251211 1.152879 0.7521176 76.9 
0.1695133 0.1231973 0.3198034 0.6127894 93.175 
0.1487069 0.1406616 0.4208435 0.95523 96.325 
0.139836 0.1702706 0.36775 1.049275 96.325 
0.2191368 0.3579762 0.7595185 0.7578494 88.275 
0.5194819 0.234742 0.5203414 0.6219179 80.3 
0.08955137 0.1595004 0.497023 0.9556007 91 
