dist_left dist_right dist_tp rmse_drift n_bis
0.2142904 0.1742582 0.8700521 0.9536854 85.325 
0.159185 0.1813131 0.8886445 0.6348534 85.925 
0.1454602 0.22832 0.4594874 0.55781 93.525 
0.1234127 0.1781375 0.522256 0.7007908 88.5 
0.290926 0.09672218 0.6679543 0.6964796 93.35 
0.2713742 0.1436478 0.5550449 0.7771944 84.05 
0.233484 0.2584737 0.7723999 0.6817545 95.575 
0.2997576 0.1286459 0.512874 0.7833759 90.875 
0.4056185 0.1997784 0.2965335 0.7860937 92.45 
0.1836716 0.2093603 0.5118 0.5157564 94.025 
0.1157629 0.234196 0.6465287 0.6358004 96.625 
0.1844554 0.2449514 0.5098462 0.8025432 93.975 
0.2490649 0.1007396 0.442992 0.7068651 92.45 
0.1103892 0.1480671 1.117974 1.125552 77.35 
0.1698362 0.1490323 0.7517259 0.4572871 92.8 
0.2084595 0.3377256 0.4212102 0.8550757 89.05 
0.2097186 0.2191086 0.7087861 0.9534916 86.275 
0.3095737 0.09500322 0.7523835 0.6304653 90.375 
0.6721429 0.1633783 0.3157363 0.8062957 76.25 
0.1531052 0.2087346 0.4537709 0.6052841 91.325 
0.3015233 0.1707668 0.426725 0.6901885 90.125 
0.1544538 0.09437009 0.3629238 0.7474151 96.25 
0.5586678 0.08751374 0.5082422 0.6293251 82.775 
0.2267531 0.1084828 0.5667609 0.5524201 80.25 
0.2762709 0.1286151 0.5862273 0.6848307 92.25 
0.3183303 0.3632867 0.5883747 0.5615176 59 
